Crypto,Date,high,low,open,close,volume,adjclose
BTC-GBP,2019-07-10,10494.787109375,9365.03515625,10091.1474609375,9719.375,26885918160,9719.375
BTC-GBP,2019-07-11,9710.876953125,8910.3994140625,9705.9443359375,9070.15234375,22834026853,9070.15234375
BTC-GBP,2019-07-12,9469.8623046875,8913.12109375,9066.6689453125,9398.671875,18719965344,9398.671875
BTC-GBP,2019-07-13,9419.330078125,8676.822265625,9396.3974609375,9061.7265625,16737717924,9061.7265625
BTC-GBP,2019-07-14,9108.5166015625,8140.76611328125,9052.69140625,8157.6689453125,17885364401,8157.6689453125
BTC-GBP,2019-07-15,8798.5107421875,7954.546875,8159.0849609375,8703.79296875,20278629944,8703.79296875
BTC-GBP,2019-07-16,8855.6875,7607.0771484375,8705.0419921875,7636.5439453125,19459659592,7636.5439453125
BTC-GBP,2019-07-17,8012.96044921875,7383.736328125,7631.4306640625,7798.09228515625,19765052261,7798.09228515625
BTC-GBP,2019-07-18,8631.7236328125,7510.55322265625,7800.38916015625,8505.3681640625,20083931958,8505.3681640625
BTC-GBP,2019-07-19,8541.43359375,8173.279296875,8495.3798828125,8423.533203125,16579868305,8423.533203125
BTC-GBP,2019-07-20,8837.515625,8359.9755859375,8419.6025390625,8612.3330078125,16162705677,8612.3330078125
BTC-GBP,2019-07-21,8672.1220703125,8310.017578125,8620.64453125,8470.4765625,13690228861,8470.4765625
BTC-GBP,2019-07-22,8513.2626953125,8138.154296875,8468.751953125,8293.0615234375,13096868540,8293.0615234375
BTC-GBP,2019-07-23,8319.2919921875,7942.90185546875,8295.98046875,7960.69287109375,14353798156,7960.69287109375
BTC-GBP,2019-07-24,7929.57421875,7693.22412109375,7950.21044921875,7859.2548828125,13936212204,7859.2548828125
BTC-GBP,2019-07-25,8158.486328125,7820.8759765625,7856.98876953125,7959.35791015625,12705264858,7959.35791015625
BTC-GBP,2019-07-26,7963.04296875,7806.2314453125,7960.3896484375,7970.81298828125,11706086710,7970.81298828125
BTC-GBP,2019-07-27,8210.6708984375,7600.3212890625,7971.5087890625,7653.74609375,13581306180,7653.74609375
BTC-GBP,2019-07-28,7733.0380859375,7473.5888671875,7665.0107421875,7718.78759765625,11100969081,7718.78759765625
BTC-GBP,2019-07-29,7829.12255859375,7699.9345703125,7715.0048828125,7792.36328125,11289663350,7792.36328125
BTC-GBP,2019-07-30,7984.5771484375,7783.52783203125,7794.96875,7900.01171875,11372004757,7900.01171875
BTC-GBP,2019-07-31,8298.6767578125,7897.52587890625,7897.23828125,8298.6767578125,13684781082,8298.6767578125
BTC-GBP,2019-08-01,8619.2841796875,8179.564453125,8291.94140625,8576.763671875,14156511611,8576.763671875
BTC-GBP,2019-08-02,8780.9697265625,8540.8408203125,8578.7216796875,8649.0947265625,14381282063,8649.0947265625
BTC-GBP,2019-08-03,9001.5380859375,8637.03125,8650.0029296875,8898.7060546875,12624512925,8898.7060546875
BTC-GBP,2019-08-04,9062.228515625,8733.0546875,8898.62890625,9029.701171875,13606794401,9029.701171875
BTC-GBP,2019-08-05,9789.244140625,9021.923828125,9021.923828125,9710.98828125,19639696010,9710.98828125
BTC-GBP,2019-08-06,10063.9443359375,9280.5859375,9715.314453125,9434.263671875,19426427674,9434.263671875
BTC-GBP,2019-08-07,9905.2392578125,9383.5361328125,9430.8603515625,9834.40234375,18277928266,9834.40234375
BTC-GBP,2019-08-08,9866.1787109375,9521.126953125,9845.93359375,9854.4921875,16043344050,9854.4921875
BTC-GBP,2019-08-09,9857.671875,9681.51171875,9843.77734375,9854.5419921875,15235029659,9854.5419921875
BTC-GBP,2019-08-10,9898.3349609375,9406.7626953125,9853.3955078125,9431.7880859375,15056732770,9431.7880859375
BTC-GBP,2019-08-11,9585.4287109375,9343.958984375,9428.228515625,9585.4287109375,13121279972,9585.4287109375
BTC-GBP,2019-08-12,9582.2314453125,9370.578125,9582.2314453125,9424.6015625,11299634484,9424.6015625
BTC-GBP,2019-08-13,9459.2841796875,8973.5107421875,9426.390625,9032.26171875,13828382580,9032.26171875
BTC-GBP,2019-08-14,9027.0615234375,8315.1689453125,9026.732421875,8334.7421875,16576143237,8334.7421875
BTC-GBP,2019-08-15,8626.84375,7978.3046875,8324.0400390625,8528.6796875,18939858084,8528.6796875
